iter	Passed	Remaining
550	8537	6957
551	8555	6943
552	8575	6931
553	8591	6916
554	8610	6904
555	8634	6895
556	8660	6887
557	8684	6878
558	8706	6869
559	8731	6860
560	8753	6849
561	8774	6838
562	8792	6824
563	8810	6810
564	8826	6795
565	8844	6781
566	8862	6767
567	8881	6754
568	8926	6761
569	8964	6763
570	8984	6750
571	9004	6737
572	9024	6725
573	9040	6709
574	9060	6697
575	9078	6682
576	9095	6667
577	9110	6651
578	9125	6635
579	9139	6618
580	9159	6605
581	9174	6589
582	9190	6573
583	9209	6560
584	9228	6546
585	9248	6533
586	9270	6522
587	9300	6516
588	9318	6502
589	9336	6488
590	9356	6475
591	9381	6465
592	9415	6462
593	9448	6457
594	9476	6450
595	9494	6436
596	9515	6423
597	9535	6410
598	9555	6396
599	9576	6384
600	9602	6375
601	9626	6364
602	9647	6351
603	9664	6336
604	9681	6320
605	9705	6309
606	9719	6293
607	9732	6274
608	9747	6258
609	9761	6241
610	9774	6223
611	9787	6205
612	9803	6189
613	9818	6172
614	9832	6155
615	9848	6139
616	9862	6121
617	9877	6105
618	9892	6088
619	9905	6071
620	9919	6054
621	9932	6036
622	9989	6045
623	10003	6028
624	10028	6017
625	10042	6000
626	10067	5988
627	10087	5975
628	10100	5957
629	10116	5941
630	10144	5932
631	10159	5915
632	10173	5898
633	10191	5883
634	10210	5868
635	10228	5854
636	10253	5843
637	10325	5858
638	10346	5845
639	10364	5829
640	10380	5813
641	10393	5795
642	10409	5779
643	10424	5762
644	10439	5746
645	10457	5730
646	10474	5714
647	10487	5697
648	10571	5717
649	10640	5729
650	10670	5720
651	10701	5711
652	10729	5701
653	10788	5707
654	10822	5700
655	10861	5695
656	10927	5704
657	10975	5704
658	11025	5705
659	11052	5693
660	11100	5693
661	11124	5679
662	11188	5687
663	11211	5673
664	11227	5655
665	11241	5637
666	11255	5619
667	11272	5602
668	11286	5584
669	11299	5565
670	11313	5547
671	11326	5528
672	11340	5510
673	11356	5493
674	11374	5476
675	11389	5458
676	11404	5441
677	11419	5423
678	11432	5404
679	11443	5385
680	11455	5365
681	11465	5345
682	11476	5326
683	11486	5306
684	11498	5287
685	11515	5270
686	11528	5252
687	11538	5232
688	11548	5212
689	11558	5192
690	11568	5173
691	11586	5157
692	11604	5140
693	11622	5124
694	11649	5112
695	11670	5097
696	11689	5081
697	11710	5066
698	11733	5052
699	11754	5037
700	11777	5023
701	11790	5005
702	11804	4987
703	11818	4969
704	11830	4950
705	11845	4932
706	11859	4914
707	11872	4896
708	11888	4879
709	11904	4862
710	11917	4844
711	11934	4827
712	11952	4811
713	11970	4794
714	11983	4776
715	12000	4760
716	12015	4742
717	12032	4725
718	12049	4709
719	12066	4692
720	12075	4672
721	12086	4653
722	12097	4635
723	12109	4616
724	12121	4597
725	12133	4579
726	12145	4560
727	12158	4542
728	12170	4524
729	12181	4505
730	12193	4487
731	12205	4468
732	12217	4450
733	12229	4431
734	12240	4413
735	12257	4396
736	12273	4379
737	12285	4361
738	12297	4343
739	12310	4325
740	12322	4307
741	12333	4288
742	12345	4270
743	12357	4251
744	12369	4233
745	12380	4215
746	12392	4197
747	12405	4179
748	12421	4162
749	12439	4146
750	12458	4130
751	12474	4114
752	12490	4097
753	12504	4079
754	12516	4061
755	12529	4043
756	12542	4026
757	12554	4008
758	12566	3990
759	12577	3971
760	12588	3953
761	12599	3935
762	12611	3917
763	12621	3898
764	12634	3881
765	12647	3863
766	12657	3845
767	12668	3826
768	12683	3809
769	12697	3792
770	12709	3774
771	12723	3757
772	12738	3740
773	12753	3723
774	12765	3706
775	12777	3688
776	12791	3671
777	12804	3653
778	12817	3636
779	12829	3618
780	12841	3600
781	12853	3583
782	12862	3564
783	12873	3546
784	12884	3528
785	12895	3511
786	12909	3493
787	12923	3476
788	12935	3459
789	12946	3441
790	12959	3424
791	12970	3406
792	12980	3388
793	12991	3370
794	13002	3352
795	13013	3335
796	13027	3318
797	13041	3301
798	13052	3283
799	13063	3265
800	13075	3248
801	13086	3230
802	13099	3213
803	13111	3196
804	13124	3179
805	13136	3161
806	13152	3145
807	13166	3128
808	13177	3111
809	13189	3093
810	13201	3076
811	13211	3058
812	13221	3041
813	13242	3025
814	13256	3009
815	13270	2992
816	13289	2976
817	13303	2960
818	13318	2943
819	13333	2926
820	13348	2910
821	13364	2893
822	13377	2877
823	13391	2860
824	13404	2843
825	13418	2826
826	13437	2810
827	13452	2794
828	13475	2779
829	13488	2762
830	13503	2746
831	13516	2729
832	13530	2712
833	13545	2696
834	13558	2679
835	13571	2662
836	13584	2645
837	13597	2628
838	13609	2611
839	13622	2594
840	13639	2578
841	13651	2561
842	13664	2544
843	13676	2527
844	13688	2510
845	13700	2493
846	13715	2477
847	13729	2460
848	13743	2444
849	13757	2427
850	13773	2411
851	13786	2394
852	13803	2378
853	13817	2362
854	13833	2346
855	13848	2329
856	13861	2312
857	13874	2296
858	13887	2279
859	13899	2262
860	13911	2245
861	13926	2229
862	13941	2213
863	13960	2197
864	13977	2181
865	13991	2164
866	14009	2149
867	14023	2132
868	14038	2116
869	14056	2100
870	14072	2084
871	14089	2068
872	14104	2051
873	14119	2035
874	14133	2019
875	14151	2003
876	14166	1986
877	14183	1970
878	14199	1954
879	14215	1938
880	14231	1922
881	14244	1905
882	14258	1889
883	14271	1872
884	14286	1856
885	14303	1840
886	14320	1824
887	14335	1808
888	14349	1791
889	14363	1775
890	14378	1759
891	14391	1742
892	14404	1725
893	14416	1709
894	14430	1692
895	14444	1676
896	14457	1660
897	14470	1643
898	14489	1627
899	14503	1611
900	14518	1595
901	14536	1579
902	14553	1563
903	14567	1547
904	14584	1530
905	14598	1514
906	14612	1498
907	14627	1482
908	14650	1466
909	14671	1450
910	14686	1434
911	14700	1418
912	14714	1402
913	14728	1385
914	14742	1369
915	14754	1353
916	14769	1336
917	14781	1320
918	14795	1304
919	14808	1287
920	14821	1271
921	14836	1255
922	14849	1238
923	14862	1222
924	14874	1206
925	14884	1189
926	14896	1173
927	14906	1156
928	14916	1140
929	14927	1123
930	14937	1107
931	14948	1090
932	14959	1074
933	14969	1057
934	14979	1041
935	14990	1024
936	15000	1008
937	15011	992
938	15021	975
939	15030	959
940	15042	943
941	15056	927
942	15068	910
943	15079	894
944	15089	878
945	15100	861
946	15110	845
947	15120	829
948	15131	813
949	15142	796
950	15152	780
951	15164	764
952	15174	748
953	15185	732
954	15195	716
955	15205	699
956	15215	683
957	15226	667
958	15235	651
959	15248	635
960	15259	619
961	15271	603
962	15282	587
963	15292	571
964	15302	554
965	15312	538
966	15322	522
967	15332	506
968	15342	490
969	15352	474
970	15362	458
971	15371	442
972	15381	426
973	15391	410
974	15401	394
975	15411	378
976	15420	363
977	15431	347
978	15441	331
979	15451	315
980	15463	299
981	15477	283
982	15490	267
983	15501	252
984	15512	236
985	15527	220
986	15539	204
987	15551	188
988	15564	173
989	15577	157
990	15591	141
991	15604	125
992	15620	110
993	15634	94
994	15657	78
995	15671	62
996	15686	47
997	15699	31
998	15715	15
999	15730	0
