iter	Logloss
0	0.5752391117
1	0.4688761304
2	0.4189734723
3	0.3834085671
4	0.3490984535
5	0.3224292977
6	0.3069334246
7	0.2930495543
8	0.2825543312
9	0.2753863262
10	0.2682467665
11	0.2637499944
12	0.2565928451
13	0.2527443738
14	0.2488581083
15	0.2457057637
16	0.2425578903
17	0.2397851154
18	0.2376204274
19	0.2346036602
20	0.2322756973
21	0.2305221845
22	0.2292139116
23	0.2279104769
24	0.2268164397
25	0.225437333
26	0.2233260568
27	0.2212939142
28	0.2198206317
29	0.218399442
30	0.2176705881
31	0.2167794571
32	0.2158587213
33	0.2153793425
34	0.214849391
35	0.2138607063
36	0.2133321176
37	0.2123999358
38	0.2118742477
39	0.2113012926
40	0.2100109512
41	0.2088279367
42	0.2083647353
43	0.2078343845
44	0.2057595919
45	0.204951242
46	0.2028386074
47	0.2025060585
48	0.2011154702
49	0.2004490724
50	0.2002239478
51	0.1997937773
52	0.1991423038
53	0.1978398504
54	0.1965525898
55	0.1962279116
56	0.1953566017
57	0.1942624253
58	0.1935922696
59	0.1926990813
60	0.1919247742
61	0.1912224075
62	0.1905614083
63	0.1904611377
64	0.1900950561
65	0.1897203292
66	0.1892852906
67	0.1889309143
68	0.188375831
69	0.1881973942
70	0.1874728229
71	0.1866772459
72	0.1860464156
73	0.1855113494
74	0.185348249
75	0.1849690534
76	0.1845464462
77	0.1841906346
78	0.1835181643
79	0.1833501112
80	0.183108102
81	0.1825556753
82	0.1819591864
83	0.1812321058
84	0.1806776956
85	0.1802713842
86	0.1801888538
87	0.1799901816
88	0.1794623557
89	0.1788910417
90	0.1785323413
91	0.1778226499
92	0.1774931618
93	0.177376885
94	0.1767943747
95	0.1763354304
96	0.175912598
97	0.1755149377
98	0.1750811305
99	0.1746545843
100	0.1740417772
101	0.1737904672
102	0.1734339116
103	0.1731174499
104	0.1727803722
105	0.1723049251
106	0.1721214616
107	0.1717956015
108	0.1715195294
109	0.1711049672
110	0.1707561076
111	0.1706152289
112	0.1703117013
113	0.1699751508
114	0.1697109424
115	0.1695857319
116	0.1691074454
117	0.1687595942
118	0.1684364283
119	0.168359068
120	0.1681713113
121	0.1677049036
122	0.1674351026
123	0.1670430107
124	0.1668487121
125	0.1666980337
126	0.1664653879
127	0.1661125455
128	0.1658323829
129	0.1655752879
130	0.1654446605
131	0.1653542202
132	0.1649589414
133	0.164815286
134	0.164654906
135	0.1645584794
136	0.1642875539
137	0.16408987
138	0.1640422361
